Trade Date,Acct No,Stock Code,Country,Buy/Sell,Price,Unit,,
20180824,632407,SILO.ID,ID,1,3000,500,,
20180703,101013264,NCS VN,VN,2,36600,600,,AcctNo refer to AcctInfo.csv
20140522,20002894001,2828 HK,HK,2,102,600,,1 means Buy
2018830,632407,0539.HK,HK,1,0.149,900000,,2 means Sell
20150724,20002894001,1366 HK,HK,1,2.22,40000,,
20180206,101013264,SAB VN,VN,2,223100,270,,
20140702,20002894001,1299 HK,HK,2,39.7,1200,,
20150417,20002894001,2007 HK,HK,1,3.8,60000,,
20170223,101013264,APG VN,VN,2,4280,18000,,
20150409,20002894001,1181 HK,HK,1,1.9,30000,,
20141104,20002894001,2914 JP,JP,2,0,300,,
20170418,101013264,DPM VN,VN,1,22800,2900,,
20180419,632407,SILO.ID,ID,1,8350,20000,,
20170609,101013264,KSB VN,VN,1,52500,3000,,
20171101,101013264,APC VN,VN,2,69500,8000,,
20161228,101013264,SRF VN,VN,1,27900,6100,,
20170727,101013264,KSB VN,VN,1,54400,5000,,
20140219,624892,BTG SP,SP,1,0.955,14000,,
20170217,101013264,LIX VN,VN,1,54000,2500,,
20150723,101013264,VMD VN,VN,1,32000,10000,,
20171215,632407,SILO.ID,ID,1,10500,100,,
20150702,20002894001,573 HK,HK,1,3.4,14000,,
20151117,20002894001,1321 JP,JP,2,20000,150,,
20180821,101013264,DXG VN,VN,2,28100,35000,,
20180426,632407,SILO.ID,ID,1,7800,20000,,
20170830,101013264,APC VN,VN,1,37500,2500,,
20150612,624892,BREAD SP,SP,1,1.43,8100,,
20140902,20002894001,43 HK,HK,1,0.91,128000,,
20170622,632407,7532.JP,JP,1,4270,100,,
20150611,20002894001,941 HK,HK,1,100,1500,,
20160411,624892,CD SP,SP,1,2.83,4300,,
20141222,20002894001,2318 HK,HK,1,0,3000,,
20180302,632407,SEVN PM,PM,1,110,3500,,
20150623,20002894001,1186 HK,HK,1,12.5,10000,,
20140902,20002894001,2318 HK,HK,1,62.3,1000,,
20151201,20002894001,357 HK,HK,2,10.04,7000,,
20180723,632407,SILO.ID,ID,1,3530,10000,,
20140918,20002894001,JNJ US,US,2,106.5,100,,
20180619,632407,BRTSS.SG,SG,1,1.03,15500,,
20171222,632407,MUA.AU,AU,2,0.56,33333,,
20140805,632407,035420 KS,KS,1,769000,10,,
20180126,632407,SEVN PM,PM,1,109.924,5000,,
20170609,101013264,KSB VN,VN,1,52500,8000,,
20141119,20002894001,BA US,US,2,131.2,75,,
20140520,20002894001,1910 HK,HK,1,24.15,1800,,
20180404,101013264,PTI VN,VN,1,22500,8000,,
20170905,101013264,VNM VN,VN,1,151900,2900,,
20150915,20002894001,1181 HK,HK,1,1.65,44000,,
20140508,20002894001,3918 HK,HK,1,6.64,6000,,
20150603,20002894001,CMCSA US,US,2,59,180,,
20180207,632407,SILO.ID,ID,1,8900,2000,,
20180103,632407,SILO.ID,ID,1,9225,10000,,
20180423,632407,SILO.ID,ID,1,8175,45000,,
20150408,20002894001,1181 HK,HK,1,1.88,56000,,
20180109,101013264,CHP VN,VN,2,26050,2600,,
